# bubble_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
     251 1.095e-05 1.419e-05 1.158e-05 7.897e-07
     316 1.408e-05 1.835e-05 1.495e-05 9.821e-07
     398 1.930e-05 2.139e-05 2.023e-05 6.112e-07
     501 2.526e-05 3.198e-05 2.696e-05 1.522e-06
     631 3.286e-05 3.753e-05 3.485e-05 1.205e-06
     794 4.086e-05 4.852e-05 4.406e-05 1.879e-06
    1000 5.290e-05 6.088e-05 5.480e-05 1.949e-06
    1259 6.741e-05 7.947e-05 7.022e-05 2.370e-06
    1585 8.553e-05 9.942e-05 8.970e-05 3.232e-06
    1995 1.126e-04 1.317e-04 1.158e-04 4.104e-06
    2512 1.452e-04 1.654e-04 1.491e-04 4.293e-06
    3162 1.845e-04 2.140e-04 1.908e-04 5.103e-06
    3981 2.391e-04 2.787e-04 2.479e-04 8.861e-06
    5012 3.084e-04 3.421e-04 3.170e-04 6.023e-06
    6310 3.982e-04 4.635e-04 4.102e-04 1.069e-05
    7943 5.034e-04 5.575e-04 5.201e-04 1.234e-05
   10000 6.496e-04 7.171e-04 6.604e-04 1.439e-05
   12589 8.401e-04 9.018e-04 8.517e-04 1.562e-05
   15849 1.088e-03 1.173e-03 1.100e-03 1.840e-05
#------- --------- --------- --------- ---------


# rank_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 4.330e-07 4.830e-07 4.493e-07 1.277e-08
      13 4.660e-07 5.040e-07 4.760e-07 9.146e-09
      16 4.930e-07 5.330e-07 5.024e-07 8.516e-09
      20 5.440e-07 5.970e-07 5.602e-07 1.150e-08
      25 6.250e-07 6.750e-07 6.414e-07 1.157e-08
      32 7.900e-07 8.630e-07 8.157e-07 1.654e-08
      40 1.039e-06 1.132e-06 1.074e-06 1.897e-08
      50 1.375e-06 1.598e-06 1.434e-06 3.434e-08
      63 1.856e-06 2.082e-06 1.943e-06 5.260e-08
      79 2.633e-06 3.046e-06 2.776e-06 8.880e-08
     100 4.055e-06 4.575e-06 4.270e-06 1.205e-07
     126 6.237e-06 1.077e-05 7.182e-06 1.338e-06
     158 9.585e-06 1.090e-05 1.008e-05 2.579e-07
     200 1.522e-05 2.504e-05 1.658e-05 2.051e-06
     251 2.426e-05 3.741e-05 2.592e-05 1.880e-06
     316 3.898e-05 4.759e-05 4.036e-05 9.482e-07
     398 6.025e-05 6.983e-05 6.251e-05 1.270e-06
     501 9.314e-05 1.104e-04 9.635e-05 1.891e-06
     631 1.468e-04 1.620e-04 1.506e-04 2.122e-06
     794 2.313e-04 2.772e-04 2.389e-04 5.886e-06
    1000 3.652e-04 4.348e-04 3.794e-04 1.143e-05
    1259 5.688e-04 6.522e-04 5.961e-04 1.592e-05
    1585 8.914e-04 9.870e-04 9.263e-04 2.594e-05
    1995 1.418e-03 1.551e-03 1.468e-03 3.539e-05
#------- --------- --------- --------- ---------


# selection_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 4.710e-07 5.240e-07 4.887e-07 1.184e-08
      13 5.230e-07 5.880e-07 5.467e-07 1.615e-08
      16 6.150e-07 6.720e-07 6.344e-07 1.134e-08
      20 7.500e-07 8.350e-07 7.728e-07 1.704e-08
      25 9.360e-07 1.027e-06 9.595e-07 1.981e-08
      32 1.301e-06 1.459e-06 1.345e-06 2.708e-08
      40 1.851e-06 2.177e-06 1.920e-06 5.031e-08
      50 2.667e-06 2.829e-06 2.747e-06 2.307e-08
      63 3.844e-06 4.250e-06 4.053e-06 1.213e-07
      79 6.166e-06 8.647e-06 6.649e-06 6.016e-07
     100 9.548e-06 1.003e-05 9.840e-06 1.163e-07
     126 1.490e-05 1.558e-05 1.529e-05 1.679e-07
     158 2.323e-05 2.580e-05 2.398e-05 6.351e-07
     200 3.701e-05 4.062e-05 3.777e-05 5.363e-07
     251 5.816e-05 6.087e-05 5.904e-05 4.325e-07
     316 9.232e-05 9.449e-05 9.332e-05 4.800e-07
     398 1.401e-04 1.598e-04 1.430e-04 2.643e-06
     501 2.177e-04 2.309e-04 2.249e-04 4.956e-06
     631 3.461e-04 3.799e-04 3.529e-04 7.751e-06
     794 5.499e-04 6.050e-04 5.603e-04 1.225e-05
    1000 8.746e-04 9.311e-04 8.856e-04 1.502e-05
    1259 1.390e-03 1.481e-03 1.406e-03 2.269e-05
#------- --------- --------- --------- ---------


