# bubble_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
#------- --------- --------- --------- ---------
      10 7.570e-07 8.160e-07 7.660e-07 5.748e-09
      13 7.980e-07 8.300e-07 8.064e-07 5.082e-09
      16 8.420e-07 1.001e-06 8.565e-07 1.707e-08
      20 9.270e-07 9.820e-07 9.438e-07 9.811e-09
      25 1.065e-06 2.458e-06 1.288e-06 4.145e-07
      32 1.321e-06 1.404e-06 1.357e-06 1.857e-08
      40 1.678e-06 1.801e-06 1.732e-06 2.810e-08
      50 2.242e-06 3.350e-06 2.393e-06 2.257e-07
      63 3.158e-06 5.003e-06 3.587e-06 5.554e-07
      79 4.554e-06 4.983e-06 4.745e-06 9.667e-08
     100 6.848e-06 7.509e-06 7.148e-06 1.518e-07
     126 1.042e-05 1.564e-05 1.120e-05 1.020e-06
     158 1.595e-05 1.783e-05 1.666e-05 3.775e-07
     200 2.515e-05 3.727e-05 2.688e-05 2.432e-06
     251 3.918e-05 6.253e-05 4.290e-05 5.509e-06
     316 6.154e-05 9.101e-05 6.473e-05 4.732e-06
     398 9.721e-05 1.040e-04 1.002e-04 1.485e-06
     501 1.533e-04 1.642e-04 1.578e-04 2.305e-06
     631 2.436e-04 3.899e-04 2.551e-04 1.999e-05
     794 3.860e-04 5.136e-04 4.002e-04 1.943e-05
    1000 6.109e-04 6.641e-04 6.246e-04 7.454e-06
    1259 9.699e-04 1.016e-03 9.879e-04 9.177e-06
    1585 1.540e-03 1.596e-03 1.565e-03 1.266e-05
#------- --------- --------- --------- ---------


# selection_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 8.000e-07 8.890e-07 8.244e-07 1.393e-08
      13 9.110e-07 9.580e-07 9.323e-07 1.122e-08
      16 1.046e-06 1.098e-06 1.071e-06 1.232e-08
      20 1.273e-06 1.340e-06 1.301e-06 1.483e-08
      25 1.626e-06 1.694e-06 1.656e-06 1.464e-08
      32 2.234e-06 2.304e-06 2.272e-06 1.530e-08
      40 3.083e-06 3.233e-06 3.163e-06 2.409e-08
      50 4.434e-06 4.727e-06 4.563e-06 4.845e-08
      63 6.571e-06 6.884e-06 6.786e-06 6.753e-08
      79 9.901e-06 1.041e-05 1.024e-05 1.183e-07
     100 1.549e-05 1.788e-05 1.611e-05 4.459e-07
     126 2.411e-05 2.530e-05 2.476e-05 2.823e-07
     158 3.748e-05 3.926e-05 3.837e-05 4.042e-07
     200 5.980e-05 6.192e-05 6.086e-05 4.995e-07
     251 9.400e-05 9.705e-05 9.540e-05 6.683e-07
     316 1.492e-04 1.527e-04 1.508e-04 8.198e-07
     398 2.368e-04 2.422e-04 2.390e-04 1.132e-06
     501 3.764e-04 3.828e-04 3.789e-04 1.409e-06
     631 5.989e-04 6.081e-04 6.022e-04 1.848e-06
     794 9.515e-04 9.646e-04 9.555e-04 2.480e-06
    1000 1.514e-03 1.547e-03 1.520e-03 4.927e-06
#------- --------- --------- --------- ---------


